state_abbr,county_name,venue_rating,fips
GA,Richmond,Plaintiff,13245
GA,Rockdale,Plaintiff,13247
GA,Schley,Neutral,13249
GA,Screven,Neutral,13251
GA,Seminole,Neutral,13253
GA,Spalding,Plaintiff,13255
GA,Stephens,Defense,13257
GA,Stewart,Neutral,13259
GA,Sumter,Neutral,13261
GA,Talbot,Neutral,13263
GA,Taliaferro,Neutral,13265
GA,Tattnall,Neutral,13267
GA,Taylor,Neutral,13269
GA,Telfair,Neutral,13271
GA,Terrell,Neutral,13273
GA,Thomas,Plaintiff,13275
GA,Tift,Plaintiff,13277
GA,Toombs,Neutral,13279
GA,Towns,Neutral,13281
GA,Treutlen,Neutral,13283
GA,Troup,Plaintiff,13285
GA,Turner,Neutral,13287
GA,Twiggs,Plaintiff,13289
GA,Union,Neutral,13291
GA,Upson,Neutral,13293
GA,Walker,Neutral,13295
GA,Walton,Defense,13297
GA,Ware,Neutral,13299
GA,Warren,Neutral,13301
GA,Washington,Neutral,13303
GA,Wayne,Neutral,13305
GA,Webster,Defense,13307
GA,Wheeler,Neutral,13309
GA,White,Neutral,13311
GA,Whitfield,Plaintiff,13313
GA,Wilcox,Neutral,13315
GA,Wilkes,Neutral,13317
GA,Wilkinson,Neutral,13319
GA,Worth,Neutral,13321
HI,Hilo,Plaintiff,15001
HI,Honolulu,Neutral,15003
HI,Lana'i,Plaintiff,15009
HI,Maui,Plaintiff,15009
HI,Molokai,Plaintiff,15009
HI,Kaua’i,Plaintiff,15007
HI,Kahului,Plaintiff,15009
HI,Oahu,Neutral,15003
IA,Adair,Defense,19001
IA,Adams,Defense,19003
IA,Allamakee,Defense,19005
IA,Appanoose,Neutral,19007
IA,Audubon,Defense,19009
IA,Benton,Neutral,19011
IA,Black Hawk,Plaintiff,19013
IA,Boone,Defense,19015
IA,Bremer,Neutral,19017
IA,Buchanan,Neutral,19019
IA,Buena Vista,Defense,19021
IA,Butler,Neutral,19023
IA,Calhoun,Defense,19025
IA,Carroll,Defense,19027
IA,Cass,Defense,19029
IA,Cedar,Neutral,19031
IA,Cerro Gordo,Defense,19033
IA,Cherokee,Defense,19035
IA,Chickasaw,Defense,19037
IA,Clarke,Defense,19039
IA,Clay,Defense,19041
IA,Clayton,Neutral,19043
IA,Clinton,Neutral,19045
IA,Crawford,Defense,19047
IA,Dallas,Defense,19049
IA,Davis,Neutral,19051
IA,Decatur,Defense,19053
IA,Delaware,Neutral,19055
IA,Des Moines,Neutral,19057
IA,Dickinson,Defense,19059
IA,Dubuque,Neutral,19061
IA,Emmet,Defense,19063
IA,Fayette,Neutral,19065
IA,Floyd,Defense,19067
IA,Franklin,Defense,19069
IA,Fremont,Defense,19071
IA,Greene,Defense,19073
IA,Grundy,Neutral,19075
IA,Guthrie,Defense,19077
IA,Hamilton,Defense,19079
IA,Hancock,Defense,19081
IA,Hardin,Defense,19083
IA,Harrison,Defense,19085
IA,Henry,Neutral,19087
IA,Howard,Defense,19089
IA,Humboldt,Defense,19091
IA,Ida,Defense,19093
IA,Iowa,Neutral,19095
IA,Jackson,Neutral,19097
IA,Jasper,Neutral,19099
IA,Jefferson,Neutral,19101
IA,Johnson,Plaintiff,19103
IA,Jones,Neutral,19105
IA,Keokuk,Neutral,19107
IA,Kossuth,Defense,19109
IA,Lee,Neutral,19111
IA,Linn,Plaintiff,19113
IA,Louisa,Neutral,19115
IA,Lucas,Neutral,19117
IA,Lyon,Defense,19119
IA,Madison,Defense,19121
IA,Mahaska,Neutral,19123
IA,Marion,Neutral,19125
IA,Marshall,Defense,19127
IA,Mills,Defense,19129
IA,Mitchell,Defense,19131
IA,Monona,Defense,19133
IA,Monroe,Neutral,19135
IA,Montgomery,Defense,19137
IA,Muscatine,Neutral,19139
IA,O'Brien,Defense,19141
IA,Osceola,Defense,19143
IA,Page,Defense,19145
IA,Palo Alto,Defense,19147
IA,Plymouth,Defense,19149
IA,Pocahontas,Defense,19151
IA,Polk,Plaintiff,19153
IA,Pottawattamie,Defense,19155
IA,Poweshiek,Neutral,19157
IA,Ringgold,Defense,19159
IA,Sac,Defense,19161
IA,Scott,Plaintiff,19163
IA,Shelby,Defense,19165
IA,Sioux,Defense,19167
IA,Story,Plaintiff,19169
IA,Tama,Neutral,19171
IA,Taylor,Defense,19173
IA,Union,Defense,19175
IA,Van Buren,Neutral,19177
IA,Wapello,Neutral,19179
IA,Warren,Defense,19181
IA,Washington,Neutral,19183
IA,Wayne,Neutral,19185
IA,Webster,Defense,19187
IA,Winnebago,Defense,19189
IA,Winneshiek,Neutral,19191
IA,Woodbury,Defense,19193
IA,Worth,Defense,19195
IA,Wright,Defense,19197
ID,Ada,Neutral,16001
ID,Adams,Defense,16003
ID,Bannock,Neutral,16005
ID,Bear Lake,Defense,16007
ID,Benewah,Defense,16009
ID,Bingham,Defense,16011
ID,Blaine,Plaintiff,16013
ID,Boise,Defense,16015
