state_abbr,county_name,venue_rating
IA,Webster,Defense
IA,Winnebago,Defense
IA,Winneshiek,Neutral
IA,Woodbury,Defense
IA,Worth,Defense
IA,Wright,Defense
ID,Ada,Neutral
ID,Adams,Defense
ID,Bannock,Neutral
ID,Bear Lake,Defense
ID,Benewah,Defense
ID,Bingham,Defense
ID,Blaine,Plaintiff
ID,Boise,Defense
ID,Bonner,Neutral
ID,Bonneville,Neutral
ID,Boundary,Defense
ID,Butte,Defense
ID,Camas,Defense
ID,Canyon,Defense
ID,Caribou,Defense
ID,Cassia,Defense
ID,Clark,Defense
ID,Clearwater,Defense
ID,Custer,Defense
ID,Elmore,Defense
ID,Franklin,Defense
ID,Fremont,Defense
ID,Gem,Defense
ID,Gooding,Neutral
ID,Idaho,Neutral
ID,Jefferson,Defense
ID,Jerome,Neutral
ID,Kootenai,Neutral
ID,Latah,Plaintiff
ID,Lemhi,Defense
ID,Lewis,Defense
ID,Lincoln,Defense
ID,Madison,Defense
ID,Minidoka,Defense
ID,Nez Perce,Neutral
ID,Oneida,Defense
ID,Owyhee,Defense
ID,Payette,Defense
ID,Power,Defense
ID,Shoshone,Neutral
ID,Teton,Neutral
ID,Twin Falls,Plaintiff
ID,Valley,Defense
ID,Washington,Defense
IL,Adams,Defense
IL,Alexander,Defense
IL,Bond,Defense
IL,Boone,Defense
IL,Brown,Defense
IL,Bureau,Defense
IL,Calhoun,Defense
IL,Carroll,Defense
IL,Cass,Defense
IL,Champaign,Neutral
IL,Christian,Defense
IL,Clark,Defense
IL,Clay,Defense
IL,Clinton,Defense
IL,Coles,Defense
IL,Cook,Plaintiff
IL,Crawford,Defense
IL,Cumberland,Defense
IL,DeKalb,Defense
IL,De Witt,Defense
IL,Douglas,Defense
IL,DuPage,Defense
IL,Edgar,Defense
IL,Edwards,Defense
IL,Effingham,Defense
IL,Fayette,Defense
IL,Ford,Defense
IL,Franklin,Defense
IL,Fulton,Defense
IL,Gallatin,Defense
IL,Greene,Defense
IL,Grundy,Defense
IL,Hamilton,Defense
IL,Hancock,Defense
IL,Hardin,Defense
IL,Henderson,Defense
IL,Henry,Defense
IL,Iroquois,Defense
IL,Jackson,Defense
IL,Jasper,Defense
IL,Jefferson,Defense
IL,Jersey,Defense
IL,Jo Daviess,Defense
IL,Johnson,Defense
IL,Kane,Neutral
IL,Kankakee,Defense
IL,Kendall,Defense
IL,Knox,Defense
IL,La Salle,Defense
IL,Lake,Neutral
IL,Lawrence,Defense
IL,Lee,Defense
IL,Livingston,Defense
IL,Logan,Defense
IL,McDonough,Defense
IL,McHenry,Defense
IL,McLean,Neutral
IL,Macon,Defense
IL,Macoupin,Defense
IL,Madison,Plaintiff
IL,Marion,Defense
IL,Marshall,Defense
IL,Mason,Defense
IL,Massac,Defense
IL,Menard,Defense
IL,Mercer,Defense
IL,Monroe,Plaintiff
IL,Montgomery,Defense
IL,Morgan,Defense
IL,Moultrie,Defense
IL,Ogle,Defense
IL,Peoria,Neutral
IL,Perry,Defense
IL,Piatt,Defense
IL,Pike,Defense
IL,Pope,Defense
IL,Pulaski,Defense
IL,Putnam,Defense
IL,Randolph,Defense
IL,Richland,Defense
IL,Rock Island,Defense
IL,Saline,Defense
IL,Sangamon,Neutral
IL,Schuyler,Defense
IL,Scott,Defense
IL,Shelby,Defense
IL,St. Clair,Plaintiff
IL,Stark,Defense
IL,Stephenson,Defense
IL,Tazewell,Defense
IL,Union,Defense
IL,Vermilion,Defense
IL,Wabash,Defense
IL,Warren,Defense
IL,Washington,Defense
IL,Wayne,Defense
IL,White,Defense
IL,Whiteside,Defense
IL,Will,Neutral
IL,Williamson,Defense
IL,Winnebago,Defense
IL,Woodford,Defense
IN,Adams,Defense
IN,Allen,Plaintiff
IN,Bartholomew,Neutral
IN,Benton,Defense
IN,Blackford,Defense
IN,Boone,Defense
IN,Brown,Defense
IN,Carroll,Defense
IN,Cass,Defense
IN,Clark,Neutral
IN,Clay,Defense
IN,Clinton,Defense
IN,Crawford,Defense
IN,Daviess,Defense
IN,Dearborn,Defense
IN,Decatur,Defense
IN,De Kalb,Defense
IN,Delaware,Plaintiff
IN,Dubois,Defense
IN,Elkhart,Neutral
IN,Fayette,Defense
IN,Floyd,Neutral
IN,Fountain,Defense
IN,Franklin,Defense
IN,Fulton,Defense
IN,Gibson,Defense
IN,Grant,Neutral
IN,Greene,Defense
IN,Hamilton,Defense
IN,Hancock,Neutral
IN,Harrison,Neutral
IN,Hendricks,Neutral
IN,Henry,Defense
IN,Howard,Neutral
IN,Huntington,Defense
IN,Jackson,Defense
IN,Jasper,Defense
IN,Jay,Defense
IN,Jefferson,Defense
IN,Jennings,Defense
IN,Johnson,Neutral
IN,Knox,Defense
IN,Kosciusko,Defense
IN,La Porte,Neutral
IN,Lagrange,Defense
IN,Lake,Plaintiff
IN,Lawrence,Defense
IN,Madison,Plaintiff
IN,Marion,Plaintiff
IN,Marshall,Neutral
IN,Martin,Defense
IN,Miami,Defense
IN,Monroe,Plaintiff
IN,Montgomery,Defense
IN,Morgan,Defense
IN,Newton,Defense
IN,Noble,Defense
IN,Ohio,Defense
IN,Orange,Defense
IN,Owen,Defense
IN,Parke,Defense
IN,Perry,Defense
IN,Pike,Defense
IN,Porter,Plaintiff
IN,Posey,Neutral
IN,Pulaski,Defense
IN,Putnam,Defense
IN,Randolph,Defense
IN,Ripley,Defense
IN,Rush,Defense
IN,St. Joseph,Neutral
IN,Scott,Defense
IN,Shelby,Neutral
IN,Spencer,Defense
IN,Starke,Neutral
IN,Steuben,Defense
IN,Sullivan,Neutral
IN,Switzerland,Defense
IN,Tippecanoe,Neutral
IN,Tipton,Defense
IN,Union,Defense
IN,Vanderburgh,Neutral
IN,Vermillion,Defense
IN,Vigo,Plaintiff
IN,Wabash,Defense
IN,Warren,Defense
IN,Warrick,Neutral
IN,Washington,Defense
IN,Wayne,Defense
IN,Wells,Defense
IN,White,Defense
IN,Whitley,Defense
KS,Allen,Defense
KS,Anderson,Defense
KS,Atchison,Neutral
KS,Barber,Defense
KS,Barton,Defense
KS,Bourbon,Neutral
KS,Brown,Defense
KS,Butler,Neutral
KS,Chase,Defense
KS,Chautauqua,Defense
KS,Cherokee,Plaintiff
KS,Cheyenne,Defense
KS,Clark,Defense
KS,Clay,Defense
KS,Cloud,Defense
KS,Coffey,Defense
KS,Comanche,Defense
KS,Cowley,Defense
KS,Crawford,Plaintiff
KS,Decatur,Defense
KS,Dickinson,Neutral
KS,Doniphan,Neutral
KS,Douglas,Plaintiff
KS,Edwards,Defense
KS,Elk,Defense
KS,Ellis,Neutral
KS,Ellsworth,Defense
KS,Finney,Plaintiff
KS,Ford,Defense
KS,Franklin,Defense
KS,Geary,Plaintiff
KS,Gove,Defense
KS,Graham,Defense
KS,Grant,Defense
KS,Gray,Defense
KS,Greeley,Defense
KS,Greenwood,Defense
KS,Hamilton,Defense
KS,Harper,Defense
KS,Harvey,Defense
KS,Haskell,Defense
KS,Hodgeman,Defense
KS,Jackson,Defense
KS,Jefferson,Defense
KS,Jewell,Defense
KS,Johnson,Neutral
KS,Kearny,Defense
KS,Kingman,Defense
KS,Kiowa,Defense
KS,Labette,Plaintiff
